sentiment,text
@ : n't catch the full # last night . are some of 's best lines in seconds . # http :,1
@ : is trending -- hours after debate -- above any of the men in # says she 's on …,1
@ : # @ delivered the highest ratings in the history of presidential debates . # http :,1
@ : @ : `` my first day will rescind every illegal executive action taken by . '' # @,1
@ : liked her and was happy when heard she was going to be the moderator . anymore . # @ https :,0
"in the headlights @ : , may be the only brain surgeon who has performed a lobotomy on himself . #",0
@ : night 's debate proved it ! # # @ # https :,0
@ @ all fairness # owns that #,0
@ : woke up to tweet this out # line of the night via @ http :,1
reading my family 's comments about how great the # was http :,0
@ : loved as 's romantic rival in . it up . #,1
@ exploiting the tragedy of for your own political gain is @ 's thing #,0
@ : # under fire for comments about women @ @ @ @ @ weigh in on # http :,0
@ : who had most speaking time at the # . @ moderators with % of time . http :,0
reason comment is funny case you 're ignorant ' is the # gop # tcot are the reason the government is n't working for the people #,0
"@ : : for transgender surgery for soldiers , sailors and airmen does not make our country safer # #",0
"@ : has class & amp ; truth , that gets my vote ! #",1
@ : “ @ : # was still ! 'm glad helping destroy . http : ”,0
@ : hate and women more ! ! ! ! ! ! #,0
@ : trying to convince us young are more worried about than police terrorism # http :,0
"# rankings : worst to be performance - , , , , , , , , , .",0
@ : 's http : # @,0
"@ : 's not a competition , but how have we moved so far on gay rights but women 's rights is worse than it 's ever been ? #",0
@ : “ @ : # was still ! 'm glad helping destroy . http : ” ”,0
@ : the # ? you feel like donating to a right about now . http : http :,0
@ they 're going to need to borrow the train horn for the next # ! little bell was wimpy ! #,0
@ : at the # will be like in bed . will keep a confusingly sad look on his face and refuse to …,0
: update on tech failures for the # http : http :,0
"@ : has been passed - & gt ; . @ is no longer the most ! @ ,",0
@ : ticket would win in a landslide @ @ @ # # potus # …,0
"@ : : `` is at fault , not my brother , because did n't clean up the mess my brother made . '' # http :",0
"@ ali : the # , we primary voters are none the wiser on the policy plans these folks are putting forth . …",0
@ : is a cross between the shrug emoji and from the movie . #,0
"@ : , in the # http :",0
@ : . # # http :,0
"thinks criticism of his misogynistic remarks is a `` political correctness '' problem . , it 's a pervasive # sexism problem . #",0
@ : the # handled # http :,0
“ @ : # @ delivered the highest ratings in the history of presidential debates . # say thanks,1
@ gov : @ # moment : saying purpose of military `` to kill things '' re trans servicemembers,0
"@ : . @ : moments were @ vs. @ , and @ reaction to women question . #",1
"@ : 's a question , in the hell are & amp ; our body parts even in this debate ? , stop it , it 's not wtf #",0
@ rushlimbaugh getting beheaded overseas and @ is worried whether @ calls fat ? #,0
"@ : wo n't defend @ , they were from fair balanced last night , but name calling is juvenile . #",0
"@ : , # `` '' questions underline how little anyone really cares about religious minorities .",0
@ : # response to # was pathetic . http :,0
@ : . @ said he cut taxes by $ . that includes cuts in estate taxes mandated by federal law . # .,0
"@ : , you want to stop abortions # http :",0
"@ : and sign your death warrant , @ next of the # # #",1
@ : # closing statements : http :,0
"@ : broke up with @ last night ! @ , @ & amp ; . # http :",0
"@ : the # , focus said they had favorable view of . , only saw him positively . http :",1
@ : made my first donation to @ . impressed by her # performance . # http :,1
@ : we want to stop sending foreign aid to places that burn our flag can we start with ? #,0
@ : 's campaign reveals important thing : are real people . they vote . should scare,1
"@ : saying `` do n't worry , will be elected '' need to remember we elected . . # http : …",0
"# : `` never mention fired from '' , & amp ; run out of race http :",0
"@ : , one more thing . anyone hear anything about affordable child care for working families last night in the # ?",0
@ : @ `` @ # # http : '',0
